30.01.2024 10:39 
Файл lab.log відкрито 
Оновлений час: 30.01.2024 10:39 

Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            10544 Console                    1     23 204 K
RuntimeBroker.exe            10632 Console                    1     50 244 K
svchost.exe                  11016 Console                    1      9 916 K
ctfmon.exe                   11244 Console                    1     53 016 K
PowerToys.exe                 5300 Console                    1     29 480 K
DSRHost.exe                  11236 Console                    1      6 344 K
backgroundTaskHost.exe       11368 Console                    1      2 060 K
dllhost.exe                  11380 Console                    1     15 568 K
svchost.exe                  11464 Services                   0     21 852 K
svchost.exe                  12016 Services                   0      4 876 K
svchost.exe                   7132 Services                   0     24 332 K
LocationNotificationWindo    11948 Console                    1      8 812 K
svchost.exe                  12396 Services                   0     13 624 K
NVIDIA Web Helper.exe        12424 Console                    1     17 464 K
LockApp.exe                  12540 Console                    1     45 952 K
conhost.exe                  12664 Console                    1      1 792 K
SearchIndexer.exe            12680 Services                   0     39 440 K
RuntimeBroker.exe            12888 Console                    1     38 712 K
svchost.exe                  13280 Console                    1     15 408 K
LenovoVantage-(LenovoGami     9304 Services                   0     12 404 K
NisSrv.exe                    5000 Services                   0     14 168 K
unsecapp.exe                 14100 Services                   0     10 076 K
FnHotkeyCapsLKNumLK.exe       2752 Console                    1     28 760 K
FnHotkeyUtility.exe           6216 Console                    1     49 848 K
unsecapp.exe                 12808 Console                    1      8 324 K
unsecapp.exe                 14360 Console                    1     10 368 K
PowerToys.AlwaysOnTop.exe    14508 Console                    1      2 464 K
PowerToys.ColorPickerUI.e    14564 Console                    1     49 516 K
PowerToys.CropAndLock.exe    14588 Console                    1      1 900 K
PowerToys.FancyZones.exe     14612 Console                    1     20 160 K
PowerToys.MouseJumpUI.exe    14680 Console                    1     16 712 K
PowerToys.Peek.UI.exe        14788 Console                    1     94 152 K
PowerToys.PowerLauncher.e    14880 Console                    1    248 720 K
PowerToys.PowerOCR.exe       15020 Console                    1     28 200 K
nvsphelper64.exe              5336 Console                    1     14 900 K
NVIDIA Share.exe             11864 Console                    1    341 432 K
NVIDIA Share.exe              8516 Console                    1     91 316 K
TextInputHost.exe             5452 Console                    1    168 644 K
PhoneExperienceHost.exe      15316 Console                    1    170 160 K
WidgetService.exe            15904 Console                    1     25 544 K
RuntimeBroker.exe            16100 Console                    1     14 072 K
NVIDIA Share.exe             10836 Console                    1    107 436 K
SecurityHealthSystray.exe    14748 Console                    1     10 532 K
SecurityHealthService.exe     9396 Services                   0     23 616 K
RtkAudUService64.exe         14548 Console                    1     11 276 K
OneDrive.exe                 13372 Console                    1    185 260 K
nvfvsdksvc_x64.exe           16576 Services                   0     10 984 K
PresentMon_x64.exe           16656 Services                   0     35 404 K
conhost.exe                  16664 Services                   0      9 732 K
PresentMon_x64.exe           16744 Console                    1     21 220 K
conhost.exe                  16752 Console                    1     12 080 K
nvrla.exe                    16824 Console                    1      9 664 K
msedge.exe                   17144 Console                    1    177 692 K
msedge.exe                   17188 Console                    1      8 260 K
msedge.exe                   17388 Console                    1     60 808 K
msedge.exe                   17404 Console                    1     36 620 K
msedge.exe                   16676 Console                    1     18 548 K
msedge.exe                   17332 Console                    1     69 916 K
msedge.exe                    5008 Console                    1     92 916 K
msedge.exe                   17564 Console                    1     74 284 K
msedge.exe                   17580 Console                    1     74 188 K
msedge.exe                   16156 Console                    1     86 508 K
msedge.exe                   18468 Console                    1     28 256 K
LenovoVantage-(VantageCor    19352 Services                   0      8 488 K
Locator.exe                  18604 Services                   0      3 556 K
msedge.exe                   18720 Console                    1     18 884 K
lghub_system_tray.exe         3104 Console                    1     84 936 K
lghub_agent.exe              19116 Console                    1     92 904 K
LenovoVantage-(LenovoServ    11028 Console                    1     13 296 K
LenovoVantage-(DeviceSett    15728 Console                    1      5 616 K
LenovoVantage-(GenericMes    23064 Console                    1      5 420 K
svchost.exe                  22932 Services                   0     16 996 K
RadeonSoftware.exe           20696 Console                    1    125 652 K
EarTrumpet.exe               20084 Console                    1     67 528 K
svchost.exe                  20132 Services                   0      6 040 K
AdobeIPCBroker.exe           22732 Console                    1     10 484 K
CCLibrary.exe                20500 Console                    1      3 208 K
node.exe                      2420 Console                    1     69 184 K
conhost.exe                  19208 Console                    1     10 344 K
DTShellHlp.exe               21136 Console                    1     19 408 K
DiscSoftBusServiceLite.ex    21972 Services                   0     16 684 K
msedge.exe                    2644 Console                    1     23 008 K
RuntimeBroker.exe            23548 Console                    1     24 352 K
FileCoAuth.exe               23956 Console                    1     28 492 K
WhatsApp.exe                  7808 Console                    1     23 992 K
RuntimeBroker.exe             6892 Console                    1     26 900 K
svchost.exe                  21276 Console                    1     13 980 K
sqlservr.exe                 23060 Services                   0    405 472 K
sqlservr.exe                  5324 Services                   0    446 352 K
sqlceip.exe                  24924 Services                   0     53 084 K
sqlceip.exe                  15244 Services                   0     53 460 K
svchost.exe                  21048 Services                   0     13 104 K
svchost.exe                  17416 Services                   0     12 784 K
svchost.exe                  19760 Console                    1      9 648 K
ShellExperienceHost.exe      10728 Console                    1     75 092 K
RuntimeBroker.exe            23500 Console                    1     34 048 K
msedgewebview2.exe           22780 Console                    1     42 596 K
msedgewebview2.exe           23080 Console                    1      8 068 K
msedgewebview2.exe           19816 Console                    1     63 008 K
msedgewebview2.exe            2776 Console                    1     18 108 K
msedgewebview2.exe           15928 Console                    1      7 404 K
msedgewebview2.exe            3660 Console                    1    158 828 K
ApplicationFrameHost.exe     24092 Console                    1     34 344 K
XboxGameBarWidgets.exe       14464 Console                    1     50 808 K
RuntimeBroker.exe             6596 Console                    1     20 360 K
svchost.exe                   4672 Services                   0     17 680 K
XboxPcAppFT.exe               5864 Console                    1     25 804 K
svchost.exe                  12832 Services                   0      7 704 K
svchost.exe                  21868 Console                    1      9 980 K
svchost.exe                  14864 Services                   0     10 164 K
svchost.exe                  23232 Services                   0     14 140 K
msedgewebview2.exe            6676 Console                    1      6 696 K
dllhost.exe                  19220 Console                    1     12 308 K
SystemSettingsBroker.exe      1868 Console                    1     36 688 K
dllhost.exe                    376 Console                    1      7 308 K
WmiApSrv.exe                  9728 Services                   0      8 724 K
svchost.exe                  12284 Services                   0     16 796 K
svchost.exe                  25316 Services                   0     12 056 K
XboxGameBarSpotify.exe       25360 Console                    1     47 320 K
svchost.exe                  13848 Services                   0      6 524 K
RuntimeBroker.exe            20136 Console                    1     10 732 K
steam.exe                    21192 Console                    1     87 748 K
steamwebhelper.exe            5476 Console                    1    157 712 K
steamservice.exe             23932 Services                   0     14 968 K
steamwebhelper.exe           20604 Console                    1     15 376 K
steamwebhelper.exe           24252 Console                    1    186 984 K
steamwebhelper.exe           19040 Console                    1     34 344 K
steamwebhelper.exe           20748 Console                    1    437 580 K
steamwebhelper.exe           19580 Console                    1    178 128 K
steamwebhelper.exe            6896 Console                    1     23 352 K
utweb.exe                    19144 Console                    1     36 028 K
helper.exe                   11152 Console                    1     16 660 K
taskhostw.exe                26528 Console                    1     29 968 K
logi_crashpad_handler.exe    29000 Services                   0      5 504 K
logi_crashpad_handler.exe    29008 Console                    1      6 624 K
svchost.exe                  29132 Services                   0      6 064 K
wallpaper64.exe              14456 Console                    1     48 452 K
opera.exe                    13940 Console                    1    465 744 K
opera_crashreporter.exe      28456 Console                    1      9 740 K
